SampleID,HmGene,Chr,Start,HPVType,HPVStart,HPVGene,Support,Split,HmStrand,HPVStrand,Source,annot,from,SampleID_HPV,SampleID_HmGene,sample_chr_start,total_read,HmGene_chr_start_annot,unique_ID
TCGA-MZ-A5BI-01A,ABHD12,chr20,24917979,HPV33,2091,E1,17,4,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-MZ-A5BI-01A_HPV33,TCGA-MZ-A5BI-01A_ABHD12,TCGA-MZ-A5BI-01A_chr20_24917979,21,ABHD12_chr20_24917979_enhancer_or_nearest_TSS_HPV33_2091,TCGA-MZ-A5BI-01A_ABHD12_chr20_24917979_HPV33_2091
TCGA-MZ-A5BI-01A,VSX1,chr20,24917979,HPV33,2091,E1,17,4,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-MZ-A5BI-01A_HPV33,TCGA-MZ-A5BI-01A_VSX1,TCGA-MZ-A5BI-01A_chr20_24917979,21,VSX1_chr20_24917979_enhancer_or_nearest_TSS_HPV33_2091,TCGA-MZ-A5BI-01A_VSX1_chr20_24917979_HPV33_2091
TCGA-MZ-A5BI-01A,APMAP,chr20,24917979,HPV33,2091,E1,17,4,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-MZ-A5BI-01A_HPV33,TCGA-MZ-A5BI-01A_APMAP,TCGA-MZ-A5BI-01A_chr20_24917979,21,APMAP_chr20_24917979_enhancer_or_nearest_TSS_HPV33_2091,TCGA-MZ-A5BI-01A_APMAP_chr20_24917979_HPV33_2091
TCGA-MZ-A5BI-01A,ENTPD6,chr20,24917979,HPV33,2091,E1,17,4,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-MZ-A5BI-01A_HPV33,TCGA-MZ-A5BI-01A_ENTPD6,TCGA-MZ-A5BI-01A_chr20_24917979,21,ENTPD6_chr20_24917979_enhancer_or_nearest_TSS_HPV33_2091,TCGA-MZ-A5BI-01A_ENTPD6_chr20_24917979_HPV33_2091
TCGA-MZ-A5BI-01A,CST7,chr20,24942171,HPV33,895,E1,74,15,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-MZ-A5BI-01A_HPV33,TCGA-MZ-A5BI-01A_CST7,TCGA-MZ-A5BI-01A_chr20_24942171,89,CST7_chr20_24942171_enhancer_or_nearest_TSS_HPV33_895,TCGA-MZ-A5BI-01A_CST7_chr20_24942171_HPV33_895
TCGA-MZ-A5BI-01A,CST7,chr20,24942805,HPV33,895,E1,26,2,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-MZ-A5BI-01A_HPV33,TCGA-MZ-A5BI-01A_CST7,TCGA-MZ-A5BI-01A_chr20_24942805,28,CST7_chr20_24942805_enhancer_or_nearest_TSS_HPV33_895,TCGA-MZ-A5BI-01A_CST7_chr20_24942805_HPV33_895
GS18002T,RBM39,chr20,35732498,HPV16,1832,E1,9,19,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18002T_HPV16,GS18002T_RBM39,GS18002T_chr20_35732498,28,RBM39_chr20_35732498_enhancer_or_nearest_TSS_HPV16_1832,GS18002T_RBM39_chr20_35732498_HPV16_1832
TCGA-HD-7832-01A,RUNX1,chr21,35097908,HPV33,895,E1,2301,576,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-HD-7832-01A_HPV33,TCGA-HD-7832-01A_RUNX1,TCGA-HD-7832-01A_chr21_35097908,2877,RUNX1_chr21_35097908_enhancer_or_nearest_TSS_HPV33_895,TCGA-HD-7832-01A_RUNX1_chr21_35097908_HPV33_895
TCGA-HD-7832-01A,RUNX1,chr21,35098844,HPV33,1998,E1,124,22,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-HD-7832-01A_HPV33,TCGA-HD-7832-01A_RUNX1,TCGA-HD-7832-01A_chr21_35098844,146,RUNX1_chr21_35098844_enhancer_or_nearest_TSS_HPV33_1998,TCGA-HD-7832-01A_RUNX1_chr21_35098844_HPV33_1998
TCGA-CV-6961-01A,ETS2,chr21,38818703,HPV16,2622,E1,23,5,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-CV-6961-01A_HPV16,TCGA-CV-6961-01A_ETS2,TCGA-CV-6961-01A_chr21_38818703,28,ETS2_chr21_38818703_enhancer_or_nearest_TSS_HPV16_2622,TCGA-CV-6961-01A_ETS2_chr21_38818703_HPV16_2622
TCGA-CR-7385-01A,LINC00111,chr21,41664635,HPV16,1308,E1,554,128,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-CR-7385-01A_HPV16,TCGA-CR-7385-01A_LINC00111,TCGA-CR-7385-01A_chr21_41664635,682,LINC00111_chr21_41664635_enhancer_or_nearest_TSS_HPV16_1308,TCGA-CR-7385-01A_LINC00111_chr21_41664635_HPV16_1308
TCGA-CR-7385-01A,LINC00111,chr21,41667375,HPV16,3406,"E2,E4",131,37,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-CR-7385-01A_HPV16,TCGA-CR-7385-01A_LINC00111,TCGA-CR-7385-01A_chr21_41667375,168,LINC00111_chr21_41667375_enhancer_or_nearest_TSS_HPV16_3406,TCGA-CR-7385-01A_LINC00111_chr21_41667375_HPV16_3406
TCGA-CR-7385-01A,LINC00111,chr21,41677912,HPV16,3423,"E2,E4",56,6,+,-,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-CR-7385-01A_HPV16,TCGA-CR-7385-01A_LINC00111,TCGA-CR-7385-01A_chr21_41677912,62,LINC00111_chr21_41677912_enhancer_or_nearest_TSS_HPV16_3423,TCGA-CR-7385-01A_LINC00111_chr21_41677912_HPV16_3423
TCGA-CN-A6V1-01A,LINC00163,chr21,44998962,HPV16,1110,E1,12,2,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,TCGA-CN-A6V1-01A_HPV16,TCGA-CN-A6V1-01A_LINC00163,TCGA-CN-A6V1-01A_chr21_44998962,14,LINC00163_chr21_44998962_enhancer_or_nearest_TSS_HPV16_1110,TCGA-CN-A6V1-01A_LINC00163_chr21_44998962_HPV16_1110
GS18028T,TOP1P2,chr22,24769376,HPV16,2355,E1,0,2,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,GS18028T_HPV16,GS18028T_TOP1P2,GS18028T_chr22_24769376,2,TOP1P2_chr22_24769376_enhancer_or_nearest_TSS_HPV16_2355,GS18028T_TOP1P2_chr22_24769376_HPV16_2355
36305,IRS4,chrX,108670746,HPV16,3494,"E2,E4",0,5,+,+,CTAT_VIF,enhancer_or_nearest_TSS,chipenrich,36305_HPV16,36305_IRS4,36305_chrX_108670746,5,IRS4_chrX_108670746_enhancer_or_nearest_TSS_HPV16_3494,36305_IRS4_chrX_108670746_HPV16_3494
GS18010T,TPPP,chr5,742972,HPV16,2778,"E1,E2",3,2,-,+,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18010T_HPV16,GS18010T_TPPP,GS18010T_chr5_742972,5,TPPP_chr5_742972_enhancer_or_nearest_TSS_HPV16_2778,GS18010T_TPPP_chr5_742972_HPV16_2778
GS18039T,CAMK2D,chr4,113818560,HPV33,505,"E6,E6flsplice",4,6,+,-,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18039T_HPV33,GS18039T_CAMK2D,GS18039T_chr4_113818560,10,CAMK2D_chr4_113818560_enhancer_or_nearest_TSS_HPV33_505,GS18039T_CAMK2D_chr4_113818560_HPV33_505
36313,SPATA12,chr3,57060787,HPV16,3389,"E2,E4",5,6,+,-,Survirus,enhancer_or_nearest_TSS,chipenrich,36313_HPV16,36313_SPATA12,36313_chr3_57060787,11,SPATA12_chr3_57060787_enhancer_or_nearest_TSS_HPV16_3389,36313_SPATA12_chr3_57060787_HPV16_3389
GS18087T,MYO6,chr6,75849449,HPV16,6047,L1,14,7,+,-,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18087T_HPV16,GS18087T_MYO6,GS18087T_chr6_75849449,21,MYO6_chr6_75849449_enhancer_or_nearest_TSS_HPV16_6047,GS18087T_MYO6_chr6_75849449_HPV16_6047
GS18028T,LEPR,chr1,65563216,HPV16,3034,E2,6,6,-,+,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18028T_HPV16,GS18028T_LEPR,GS18028T_chr1_65563216,12,LEPR_chr1_65563216_enhancer_or_nearest_TSS_HPV16_3034,GS18028T_LEPR_chr1_65563216_HPV16_3034
GS18078T,LINC01994,chr3,182235449,HPV16,913,E1,70,14,-,+,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18078T_HPV16,GS18078T_LINC01994,GS18078T_chr3_182235449,84,LINC01994_chr3_182235449_enhancer_or_nearest_TSS_HPV16_913,GS18078T_LINC01994_chr3_182235449_HPV16_913
TCGA-TN-A7HI-01A,SOX2,chr3,181976931,HPV33,895,E1,12,3,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,TCGA-TN-A7HI-01A_HPV33,TCGA-TN-A7HI-01A_SOX2,TCGA-TN-A7HI-01A_chr3_181976931,15,SOX2_chr3_181976931_enhancer_or_nearest_TSS_HPV33_895,TCGA-TN-A7HI-01A_SOX2_chr3_181976931_HPV33_895
TCGA-HL-7533-01A,RIC1,chr9,5578122,HPV16,3950,E5,298,37,+,-,Survirus,enhancer_or_nearest_TSS,chipenrich,TCGA-HL-7533-01A_HPV16,TCGA-HL-7533-01A_RIC1,TCGA-HL-7533-01A_chr9_5578122,335,RIC1_chr9_5578122_enhancer_or_nearest_TSS_HPV16_3950,TCGA-HL-7533-01A_RIC1_chr9_5578122_HPV16_3950
TCGA-BB-7861-01A,MCTP2,chr15,93746445,HPV16,3631,E2,67,12,-,+,Survirus,enhancer_or_nearest_TSS,chipenrich,TCGA-BB-7861-01A_HPV16,TCGA-BB-7861-01A_MCTP2,TCGA-BB-7861-01A_chr15_93746445,79,MCTP2_chr15_93746445_enhancer_or_nearest_TSS_HPV16_3631,TCGA-BB-7861-01A_MCTP2_chr15_93746445_HPV16_3631
GS18048T,GATB,chr4,151554119,HPV33,2516,E1,52,24,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18048T_HPV33,GS18048T_GATB,GS18048T_chr4_151554119,76,GATB_chr4_151554119_enhancer_or_nearest_TSS_HPV33_2516,GS18048T_GATB_chr4_151554119_HPV33_2516
GS18020T,MEIOB,chr16,1853036,HPV35,412,"E6,E6flsplice",11,17,-,-,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18020T_HPV35,GS18020T_MEIOB,GS18020T_chr16_1853036,28,MEIOB_chr16_1853036_enhancer_or_nearest_TSS_HPV35_412,GS18020T_MEIOB_chr16_1853036_HPV35_412
TCGA-BB-7864-01A,LINC00615,chr12,90905866,HPV56,912,E1,2141,294,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,TCGA-BB-7864-01A_HPV56,TCGA-BB-7864-01A_LINC00615,TCGA-BB-7864-01A_chr12_90905866,2435,LINC00615_chr12_90905866_enhancer_or_nearest_TSS_HPV56_912,TCGA-BB-7864-01A_LINC00615_chr12_90905866_HPV56_912
TCGA-HD-7832-01A,RUNX1,chr21,35098843,HPV33,1994,E1,191,10,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,TCGA-HD-7832-01A_HPV33,TCGA-HD-7832-01A_RUNX1,TCGA-HD-7832-01A_chr21_35098843,201,RUNX1_chr21_35098843_enhancer_or_nearest_TSS_HPV33_1994,TCGA-HD-7832-01A_RUNX1_chr21_35098843_HPV33_1994
TCGA-BB-7866-01A,SPRED2,chr2,65859997,HPV16,2750,E1,242,73,-,+,Survirus,enhancer_or_nearest_TSS,chipenrich,TCGA-BB-7866-01A_HPV16,TCGA-BB-7866-01A_SPRED2,TCGA-BB-7866-01A_chr2_65859997,315,SPRED2_chr2_65859997_enhancer_or_nearest_TSS_HPV16_2750,TCGA-BB-7866-01A_SPRED2_chr2_65859997_HPV16_2750
TCGA-MZ-A6I9-01A,FOXA1,chr14,37626298,HPV16,2219,E1,48,4,+,-,Survirus,enhancer_or_nearest_TSS,chipenrich,TCGA-MZ-A6I9-01A_HPV16,TCGA-MZ-A6I9-01A_FOXA1,TCGA-MZ-A6I9-01A_chr14_37626298,52,FOXA1_chr14_37626298_enhancer_or_nearest_TSS_HPV16_2219,TCGA-MZ-A6I9-01A_FOXA1_chr14_37626298_HPV16_2219
GS18007T,FGFR3,chr4,1789676,HPV16,884,E1,2029,1360,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18007T_HPV16,GS18007T_FGFR3,GS18007T_chr4_1789676,3389,FGFR3_chr4_1789676_enhancer_or_nearest_TSS_HPV16_884,GS18007T_FGFR3_chr4_1789676_HPV16_884
GS18076T,AKR1A1,chr1,45561881,HPV16,3900,E5,26,22,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18076T_HPV16,GS18076T_AKR1A1,GS18076T_chr1_45561881,48,AKR1A1_chr1_45561881_enhancer_or_nearest_TSS_HPV16_3900,GS18076T_AKR1A1_chr1_45561881_HPV16_3900
GS18068T,SSR1,chr6,7264400,HPV16,2654,E1,815,510,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18068T_HPV16,GS18068T_SSR1,GS18068T_chr6_7264400,1325,SSR1_chr6_7264400_enhancer_or_nearest_TSS_HPV16_2654,GS18068T_SSR1_chr6_7264400_HPV16_2654
GS18051T,PVT1,chr8,127861028,HPV16,6051,L1,5,4,-,-,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18051T_HPV16,GS18051T_PVT1,GS18051T_chr8_127861028,9,PVT1_chr8_127861028_enhancer_or_nearest_TSS_HPV16_6051,GS18051T_PVT1_chr8_127861028_HPV16_6051
36308,WDR6,chr3,49007759,HPV33,492,"E6,E6flsplice",3,5,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,36308_HPV33,36308_WDR6,36308_chr3_49007759,8,WDR6_chr3_49007759_enhancer_or_nearest_TSS_HPV33_492,36308_WDR6_chr3_49007759_HPV33_492
15914,BIRC3,chr11,102322644,HPV16,579,E7,17,15,-,+,Survirus,enhancer_or_nearest_TSS,chipenrich,15914_HPV16,15914_BIRC3,15914_chr11_102322644,32,BIRC3_chr11_102322644_enhancer_or_nearest_TSS_HPV16_579,15914_BIRC3_chr11_102322644_HPV16_579
GS18019T,LINC01192,chr3,163360660,HPV16,4052,E5,578,318,-,+,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18019T_HPV16,GS18019T_LINC01192,GS18019T_chr3_163360660,896,LINC01192_chr3_163360660_enhancer_or_nearest_TSS_HPV16_4052,GS18019T_LINC01192_chr3_163360660_HPV16_4052
GS18020T,MEIOB,chr16,1853037,HPV35,14,LCR,5,5,-,-,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18020T_HPV35,GS18020T_MEIOB,GS18020T_chr16_1853037,10,MEIOB_chr16_1853037_enhancer_or_nearest_TSS_HPV35_14,GS18020T_MEIOB_chr16_1853037_HPV35_14
TCGA-BB-7861-01A,C12orf42,chr12,103401676,HPV16,3579,"E2,E4",48,9,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,TCGA-BB-7861-01A_HPV16,TCGA-BB-7861-01A_C12orf42,TCGA-BB-7861-01A_chr12_103401676,57,C12orf42_chr12_103401676_enhancer_or_nearest_TSS_HPV16_3579,TCGA-BB-7861-01A_C12orf42_chr12_103401676_HPV16_3579
15914,BIRC3,chr11,102324321,HPV16,7638,LCR,8,10,+,-,Survirus,enhancer_or_nearest_TSS,chipenrich,15914_HPV16,15914_BIRC3,15914_chr11_102324321,18,BIRC3_chr11_102324321_enhancer_or_nearest_TSS_HPV16_7638,15914_BIRC3_chr11_102324321_HPV16_7638
TCGA-MZ-A5BI-01A,ABHD12,chr20,24917977,HPV33,2091,E1,23,4,-,-,Survirus,enhancer_or_nearest_TSS,chipenrich,TCGA-MZ-A5BI-01A_HPV33,TCGA-MZ-A5BI-01A_ABHD12,TCGA-MZ-A5BI-01A_chr20_24917977,27,ABHD12_chr20_24917977_enhancer_or_nearest_TSS_HPV33_2091,TCGA-MZ-A5BI-01A_ABHD12_chr20_24917977_HPV33_2091
TCGA-MZ-A5BI-01A,VSX1,chr20,24917977,HPV33,2091,E1,23,4,-,-,Survirus,enhancer_or_nearest_TSS,chipenrich,TCGA-MZ-A5BI-01A_HPV33,TCGA-MZ-A5BI-01A_VSX1,TCGA-MZ-A5BI-01A_chr20_24917977,27,VSX1_chr20_24917977_enhancer_or_nearest_TSS_HPV33_2091,TCGA-MZ-A5BI-01A_VSX1_chr20_24917977_HPV33_2091
TCGA-MZ-A5BI-01A,APMAP,chr20,24917977,HPV33,2091,E1,23,4,-,-,Survirus,enhancer_or_nearest_TSS,chipenrich,TCGA-MZ-A5BI-01A_HPV33,TCGA-MZ-A5BI-01A_APMAP,TCGA-MZ-A5BI-01A_chr20_24917977,27,APMAP_chr20_24917977_enhancer_or_nearest_TSS_HPV33_2091,TCGA-MZ-A5BI-01A_APMAP_chr20_24917977_HPV33_2091
TCGA-MZ-A5BI-01A,ENTPD6,chr20,24917977,HPV33,2091,E1,23,4,-,-,Survirus,enhancer_or_nearest_TSS,chipenrich,TCGA-MZ-A5BI-01A_HPV33,TCGA-MZ-A5BI-01A_ENTPD6,TCGA-MZ-A5BI-01A_chr20_24917977,27,ENTPD6_chr20_24917977_enhancer_or_nearest_TSS_HPV33_2091,TCGA-MZ-A5BI-01A_ENTPD6_chr20_24917977_HPV33_2091
GS18047T,L3MBTL2,chr22,41177524,HPV16,6205,L1,6,8,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18047T_HPV16,GS18047T_L3MBTL2,GS18047T_chr22_41177524,14,L3MBTL2_chr22_41177524_enhancer_or_nearest_TSS_HPV16_6205,GS18047T_L3MBTL2_chr22_41177524_HPV16_6205
GS18047T,RLN1,chr9,5349395,HPV16,3077,E2,8,5,+,-,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18047T_HPV16,GS18047T_RLN1,GS18047T_chr9_5349395,13,RLN1_chr9_5349395_enhancer_or_nearest_TSS_HPV16_3077,GS18047T_RLN1_chr9_5349395_HPV16_3077
GS18028T,VMP1,chr17,59749018,HPV16,3612,E2,141,90,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18028T_HPV16,GS18028T_VMP1,GS18028T_chr17_59749018,231,VMP1_chr17_59749018_enhancer_or_nearest_TSS_HPV16_3612,GS18028T_VMP1_chr17_59749018_HPV16_3612
GS18033T,MIR944,chr3,189962647,HPV16,2357,E1,550,251,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18033T_HPV16,GS18033T_MIR944,GS18033T_chr3_189962647,801,MIR944_chr3_189962647_enhancer_or_nearest_TSS_HPV16_2357,GS18033T_MIR944_chr3_189962647_HPV16_2357
GS18039T,CAMK2D,chr4,113818559,HPV33,3348,"E2,E4",101,155,+,-,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18039T_HPV33,GS18039T_CAMK2D,GS18039T_chr4_113818559,256,CAMK2D_chr4_113818559_enhancer_or_nearest_TSS_HPV33_3348,GS18039T_CAMK2D_chr4_113818559_HPV33_3348
GS18070T,SOX2,chr3,181992002,HPV33,3348,"E2,E4",41,15,+,-,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18070T_HPV33,GS18070T_SOX2,GS18070T_chr3_181992002,56,SOX2_chr3_181992002_enhancer_or_nearest_TSS_HPV33_3348,GS18070T_SOX2_chr3_181992002_HPV33_3348
TCGA-CV-5442-01A,OR7D4,chr19,9220514,HPV16,1486,E1,66,3,-,+,Survirus,enhancer_or_nearest_TSS,chipenrich,TCGA-CV-5442-01A_HPV16,TCGA-CV-5442-01A_OR7D4,TCGA-CV-5442-01A_chr19_9220514,69,OR7D4_chr19_9220514_enhancer_or_nearest_TSS_HPV16_1486,TCGA-CV-5442-01A_OR7D4_chr19_9220514_HPV16_1486
GS18002T,PHF20,chr20,35797410,HPV16,2559,E1,3,3,+,-,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18002T_HPV16,GS18002T_PHF20,GS18002T_chr20_35797410,6,PHF20_chr20_35797410_enhancer_or_nearest_TSS_HPV16_2559,GS18002T_PHF20_chr20_35797410_HPV16_2559
GS18039T,CAMK2D,chr4,113834579,HPV33,3350,"E2,E4",19,27,+,-,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18039T_HPV33,GS18039T_CAMK2D,GS18039T_chr4_113834579,46,CAMK2D_chr4_113834579_enhancer_or_nearest_TSS_HPV33_3350,GS18039T_CAMK2D_chr4_113834579_HPV33_3350
15925,B3GALT2,chr1,193856475,HPV18,929,E1,111,119,-,+,Survirus,enhancer_or_nearest_TSS,chipenrich,15925_HPV18,15925_B3GALT2,15925_chr1_193856475,230,B3GALT2_chr1_193856475_enhancer_or_nearest_TSS_HPV18_929,15925_B3GALT2_chr1_193856475_HPV18_929
GS18026T,TAB2,chr6,149118491,HPV16,2070,E1,6,4,-,+,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18026T_HPV16,GS18026T_TAB2,GS18026T_chr6_149118491,10,TAB2_chr6_149118491_enhancer_or_nearest_TSS_HPV16_2070,GS18026T_TAB2_chr6_149118491_HPV16_2070
GS18103T,TCTEX1D2,chr3,196316137,HPV18,929,E1,462,206,-,+,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18103T_HPV18,GS18103T_TCTEX1D2,GS18103T_chr3_196316137,668,TCTEX1D2_chr3_196316137_enhancer_or_nearest_TSS_HPV18_929,GS18103T_TCTEX1D2_chr3_196316137_HPV18_929
TCGA-CN-A6V7-01A,ZFP36L1,chr14,68447935,HPV16,3492,"E2,E4",175,50,-,+,Survirus,enhancer_or_nearest_TSS,chipenrich,TCGA-CN-A6V7-01A_HPV16,TCGA-CN-A6V7-01A_ZFP36L1,TCGA-CN-A6V7-01A_chr14_68447935,225,ZFP36L1_chr14_68447935_enhancer_or_nearest_TSS_HPV16_3492,TCGA-CN-A6V7-01A_ZFP36L1_chr14_68447935_HPV16_3492
15914,BIRC3,chr11,102325691,HPV16,1992,E1,7,8,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,15914_HPV16,15914_BIRC3,15914_chr11_102325691,15,BIRC3_chr11_102325691_enhancer_or_nearest_TSS_HPV16_1992,15914_BIRC3_chr11_102325691_HPV16_1992
GS18087T,ADARB2,chr10,1469055,HPV16,2805,"E1,E2",9,4,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18087T_HPV16,GS18087T_ADARB2,GS18087T_chr10_1469055,13,ADARB2_chr10_1469055_enhancer_or_nearest_TSS_HPV16_2805,GS18087T_ADARB2_chr10_1469055_HPV16_2805
GS18092T,FOXE3,chr1,47421060,HPV16,3543,"E2,E4",2387,1206,-,+,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18092T_HPV16,GS18092T_FOXE3,GS18092T_chr1_47421060,3593,FOXE3_chr1_47421060_enhancer_or_nearest_TSS_HPV16_3543,GS18092T_FOXE3_chr1_47421060_HPV16_3543
TCGA-HD-7754-01A,ZBTB7C,chr18,48138033,HPV16,1565,E1,101,4,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,TCGA-HD-7754-01A_HPV16,TCGA-HD-7754-01A_ZBTB7C,TCGA-HD-7754-01A_chr18_48138033,105,ZBTB7C_chr18_48138033_enhancer_or_nearest_TSS_HPV16_1565,TCGA-HD-7754-01A_ZBTB7C_chr18_48138033_HPV16_1565
GS18088T,NANOG,chr12,7801576,HPV16,2320,E1,4,4,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18088T_HPV16,GS18088T_NANOG,GS18088T_chr12_7801576,8,NANOG_chr12_7801576_enhancer_or_nearest_TSS_HPV16_2320,GS18088T_NANOG_chr12_7801576_HPV16_2320
TCGA-BB-7864-01A,LINC00615,chr12,90915019,HPV56,910,E1,368,36,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,TCGA-BB-7864-01A_HPV56,TCGA-BB-7864-01A_LINC00615,TCGA-BB-7864-01A_chr12_90915019,404,LINC00615_chr12_90915019_enhancer_or_nearest_TSS_HPV56_910,TCGA-BB-7864-01A_LINC00615_chr12_90915019_HPV56_910
GS18039T,CAMK2D,chr4,113829663,HPV33,2412,E1,458,557,+,-,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18039T_HPV33,GS18039T_CAMK2D,GS18039T_chr4_113829663,1015,CAMK2D_chr4_113829663_enhancer_or_nearest_TSS_HPV33_2412,GS18039T_CAMK2D_chr4_113829663_HPV33_2412
15914,BIRC3,chr11,102324970,HPV16,2958,E2,3,5,+,-,Survirus,enhancer_or_nearest_TSS,chipenrich,15914_HPV16,15914_BIRC3,15914_chr11_102324970,8,BIRC3_chr11_102324970_enhancer_or_nearest_TSS_HPV16_2958,15914_BIRC3_chr11_102324970_HPV16_2958
GS18062T,IER5L,chr9,129175431,HPV16,5603,L2,12,10,-,-,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18062T_HPV16,GS18062T_IER5L,GS18062T_chr9_129175431,22,IER5L_chr9_129175431_enhancer_or_nearest_TSS_HPV16_5603,GS18062T_IER5L_chr9_129175431_HPV16_5603
130-MCDM-4,FOXE1,chr9,97815992,HPV16,685,E7,13,18,-,-,Survirus,enhancer_or_nearest_TSS,chipenrich,130-MCDM-4_HPV16,130-MCDM-4_FOXE1,130-MCDM-4_chr9_97815992,31,FOXE1_chr9_97815992_enhancer_or_nearest_TSS_HPV16_685,130-MCDM-4_FOXE1_chr9_97815992_HPV16_685
GS18047T,PLGRKT,chr9,5411690,HPV16,405,"E6,E6flsplice",45,21,+,-,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18047T_HPV16,GS18047T_PLGRKT,GS18047T_chr9_5411690,66,PLGRKT_chr9_5411690_enhancer_or_nearest_TSS_HPV16_405,GS18047T_PLGRKT_chr9_5411690_HPV16_405
GS18103T,PAK2,chr3,196740157,HPV18,3432,"E2,E4",3,2,+,-,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18103T_HPV18,GS18103T_PAK2,GS18103T_chr3_196740157,5,PAK2_chr3_196740157_enhancer_or_nearest_TSS_HPV18_3432,GS18103T_PAK2_chr3_196740157_HPV18_3432
TCGA-MZ-A5BI-01A,CST7,chr20,24908500,HPV33,896,E1,41,19,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,TCGA-MZ-A5BI-01A_HPV33,TCGA-MZ-A5BI-01A_CST7,TCGA-MZ-A5BI-01A_chr20_24908500,60,CST7_chr20_24908500_enhancer_or_nearest_TSS_HPV33_896,TCGA-MZ-A5BI-01A_CST7_chr20_24908500_HPV33_896
GS18006T,EIF4G1,chr3,184325044,HPV16,5232,L2,339,106,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18006T_HPV16,GS18006T_EIF4G1,GS18006T_chr3_184325044,445,EIF4G1_chr3_184325044_enhancer_or_nearest_TSS_HPV16_5232,GS18006T_EIF4G1_chr3_184325044_HPV16_5232
130-MCDM-4,PIM1,chr6,37196776,HPV16,5254,L2,4,3,+,-,Survirus,enhancer_or_nearest_TSS,chipenrich,130-MCDM-4_HPV16,130-MCDM-4_PIM1,130-MCDM-4_chr6_37196776,7,PIM1_chr6_37196776_enhancer_or_nearest_TSS_HPV16_5254,130-MCDM-4_PIM1_chr6_37196776_HPV16_5254
GS18028T,AKR1E2,chr10,4791708,HPV16,2353,E1,102,72,+,+,Survirus,enhancer_or_nearest_TSS,chipenrich,GS18028T_HPV16,GS18028T_AKR1E2,GS18028T_chr10_4791708,174,AKR1E2_chr10_4791708_enhancer_or_nearest_TSS_HPV16_2353,GS18028T_AKR1E2_chr10_4791708_HPV16_2353
